,,Is supported by (integral to) IA-4: Identifier Management ,"Authorization for access to (e.g., configuration of) and connections to and from a break and inspect device must require receipt of authorization from an organization-defined person or role to assign an individual, group, role, service, or device identifier; selection of an identifier that identifies an individual, group, role, service, or device; and assignment of the identifier to the intended individual, group, role, service, or device."
,,Is supported by (integral to) PE-2: Physical Access Authorization,"The middlebox is a security-critical element capable of being used as an unauthorized man-in-the-middle. As such, physical access to this element must be limited to individuals who have been specifically authorized access to the device and connections to the device."
,,Is supported by (integral to) PE-3: Physical Access Control,"The middlebox is a security-critical element capable of being used as an unauthorized man-in-the-middle. As such, physical access to this element must be controlled and limited to authorized staff."
,,Supports (integral to) CA-7: Continuous Monitoring,"In the passive inspection architectures, the break and inspect device captures TLS 1.3-protected traffic, decrypts it, re-encrypts it, and routs it to analytic platforms in a form that permits its use in conducting continuous monitoring."
,,Supports (example of) SC-8: Transmission Confidentiality and Integrity,The break and inspect middlebox re-encrypts the traffic to provide cryptographic protection to data-in-transit within the data center.
,,Supports (example of) SC-12: Cryptographic Key Establishment and Management,The break and inspect middlebox obtains keys from the enterprise PKI and routes keys to the key governance platform to support decryption and re-encryption functions necessary to the secure operation of continuous network monitoring and analytics necessary to detect potential cybersecurity events.
,,Supports (integral to) SI-4: System Monitoring,"In the passive inspection architectures, the network tap diverts TLS 1.3-protected traffic to invoke internal monitoring and analysis for attacks and indicators of potential attacks, unauthorized local, network, and remote connections, unauthorized use of the system, and analysis of detected events and anomalies."
Real Time Analytics Platform ,"Set of tools for examining unencrypted payloads to identify undesired characteristics such as identification of causes of network or applications performance degradation or failures, key management-based communications failures, detection and identification of anomalous received data, identification of sources of anomalous data, and detection of traffic from unauthorized sources), and identification of legitimate enterprise data being exfiltrated to anomalous destinations.",Is supported by (precedes) AC-1: Access Control Policy and Procedures,Organizational security policy is prerequisite to determining authorized vs unauthorized data sources and destinations.
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege.,The real time analytics platform accesses a variety of potentially sensitive unencrypted payloads in large quantities. Only personnel having duties specifically authorizing access to the payloads may have access permission. 
,,Is supported by (integral to) AC-17: Remote Access ,"The real time analytics platform processes potentially sensitive decrypted TLS traffic. Therefore, remote access to the platform must be controlled."
,,Is supported by (integral to) IA-2: Identification and Authentication (Organizational Users),Authorization for access to the analytics platform(s) must require prior credentialling and authorization of the responsible staff.
,,Is supported by (integral to) PE-2: Physical Access Authorization,"The analytics platform is a has access to decrypted sensitive information. As such, physical access to this element must be limited to individuals who have been specifically authorized access to the device and connections to the device."
,,Is supported by (integral to) PE-3: Physical Access Control,"The analytics platform is a has access to decrypted. As such, physical access to this element must be controlled and limited to authorized staff."
,,Supports (example of) CA-7: Continuous Monitoring,"The real time analytics platform monitors the network for unauthorized connections and devices. The real time analytics platform also monitors the network for undesired characteristics such as identification of causes of network or applications performance degradation or failures, key management-based communications failures, detection and identification of anomalous received data, identification of sources of anomalous data, and detection of traffic from unauthorized sources), and identification of legitimate enterprise data being exfiltrated to anomalous destinations."
,,Supports (example of) CM-2: Baseline Configuration,The data provided by the real time analytics platform�s tools are used to maintain and manage the baseline of network operations and expected data flows.
,,,
,,Supports (example of) IR-4: Incident Handling,The real time analytics platform�s tools support determination of the impact of anomalous events which is essential to incident handling.
,,Supports (example of) IR-5: Incident Monitoring,The analytics platform is an incident monitoring and analytics tool.
,,Supports (example of) SA-9: External System Services cybersecurity events.,The real time analytics platform monitors the network for potential cybersecurity events that might be initiated by external service providers.
,,Supports (integral to) SI-4: System Monitoring,"The real-time analytics platform is an integral element of system monitoring. It enables discovery of attacks and indicators of potential attacks, unauthorized local, network, and remote connections, unauthorized use of the system, and analysis of detected events and anomalies."
,,Supports (example of) SR-6: Supplier Assessments and Reviews,Information discovered in the course of analytics contributes to audit and evaluation of connected business partners for conformance with contractual data security obligations.
,,Supports (example of) SR-6: Supplier Assessments and Reviews,Information discovered in the course of analytics contributes to audit and evaluation of connected business partners for conformance with contractual data security obligations.
Traffic Capture Platform for Post Facto Decryption and Analysis,Encrypted storage of captured traffic to allow subsequent analytics of captured traffic. This can be encrypted storage of the captured decrypted traffic or storage of the captured original encrypted traffic.,Is supported by (precedes) AC-1: Access Control Policy and Procedures,Organizational security policy is prerequisite to determining authorized vs unauthorized data sources and destinations.
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege.,The post facto decryption and analysis platform accesses a variety of potentially sensitive cryptographic keys and decrypted payloads in large quantities. Only personnel having duties specifically authorizing access to the payloads may have access permission. 
,,Is supported by (integral to) AC-17: Remote Access ,"The post facto decryption and analysis platform processes key variables and potentially sensitive decrypted TLS traffic. Therefore, remote access to the platform must be controlled."
,,Is supported by (integral to) IA-2: Identification and Authentication (Organizational Users),Authorization for access to the post facto decryption and analysis platform must require prior credentialling and authorization of the responsible staff.
,,Is supported by (integral to) PE-2: Physical Access Authorization,"The post facto decryption and analysis platform has access to cryptographic keys and decrypted sensitive information. As such, physical access to this element must be limited to individuals who have been specifically authorized access to the device and connections to the device."
,,Is supported by (integral to) PE-3: Physical Access Control,"The post facto decryption and analysis platform has access to cryptographic keys and decrypted sensitive information. As such, physical access to this element must be controlled and limited to authorized staff."
,,Supports (example of) CM-2: Baseline Configuration,The data provided by the post facto decryption and analysis platform�s tools are used to maintain and manage the baseline of network operations and expected data flows.
,,,
,,Supports (example of) IR-4: Incident Handling,The post facto decryption and analysis platform�s tools support determination of the impact of anomalous events which is essential to incident handling.
,,Supports (example of) IR-5: Incident Monitoring,The post facto decryption and analysis platform is an incident monitoring and analytics tool.
,,Supports (example of) SA-9: External System Services cybersecurity events.,The post facto decryption and analysis platform supports a history of potential network-based cybersecurity events that might be initiated by external service providers.
,,Supports (integral to) SC-12: Cryptographic Key Establishment and Management,The platform performs cryptographic key management processes necessary to decryption for post facto analysis.
,,Supports (example of) SC-18: Mobile Code ,Post facto analysis of TLS 1.3-protected traffic supports detection of unauthorized mobile code.
,,Supports (integral to) SC-28: Protection of Data-at-Rest ,Traffic is stored only in encrypted form.
,,Supports (example of) SC-35: External Malicious Code Identification,Post facto analysis of TLS 1.3-protected traffic supports detection of and identification of malicious code from external sources.
,,Supports (integral to) SI-4: System Monitoring,"Post facto analysis of captured, decrypted, and re-encrypted TLS 1.3-protected data permits analysis of information obtained through network monitoring to detect characteristics such as identification of causes of network or applications performance degradation or failures, key management-based communications failures, detection and identification of anomalous received data, identification of sources of anomalous data, and detection of traffic from unauthorized sources), and identification of legitimate enterprise data being exfiltrated to anomalous destinations."
,,Supports (example of) SR-6: Supplier Assessments and Reviews,Information discovered in the course of analytics contributes to audit and evaluation of connected business partners for conformance with contractual data security obligations.
,,Supports (example of) SR-6: Supplier Assessments and Reviews,Information discovered in the course of analytics contributes to audit and evaluation of connected business partners for conformance with contractual data security obligations.
Key Governance Platform,"Security module performing storage and distribution of keys (e.g., discover, create, renew, provision, revoke, and destroy certificates and keys). Bounded lifetime DH keys are pushed to the TLS server and passive decrypt device providing real time decryption, they are also stored for future use by decrypt solutions that work with captured encrypted sessions. Ephemeral session keys and flow identification data are received from the Session Key Capture agent or the decrypt platform providing real time decryption using these keys and stored for future use by decrypt solutions that work with captured encrypted sessions.",Is supported by (precedes) AC-2: Account Management,"Authorization for access to (e.g., configuration of) and connections to the key governance platform must require prior credentialling and authorization."
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege.,Unauthorized access to TLS transactions can result in access to the full range of information being exchanged.
,,Is supported by (integral to) AC-17: Remote Access ,"The key governance platform discovers, creates, renews, provisions, revokes, and destroys certificates and keys upon which transport layer security relies. Unauthorized access to these keys and processes compromises the effectiveness of TLS."
,,Is supported by (integral to) PE-2: Physical Access Authorization,"The key governance platform discovers, creates, renews, provisions, revokes, and destroys certificates and keys upon which transport layer security relies. As such, the key governance platform has access to cryptographic keys used to decrypt and re-encrypt sensitive information and processes used to protect the confidentiality and integrity of the keys. Physical access to this element must be limited to individuals who have been specifically authorized access to the device and connections to the device."
,,Is supported by (integral to) PE-3: Physical Access Control,"The key governance platform discovers, creates, renews, provisions, revokes, and destroys certificates and keys upon which transport layer security relies. As such, the key governance platform has access to cryptographic keys used to decrypt and re-encrypt sensitive information and processes used to protect the confidentiality and integrity of the keys. As such, physical access to this element must be controlled and limited to authorized staff."
,,Is supported by (integral to) SC-12: Cryptographic Key Establishment and Management,Conformance to cryptographic key establishment and management controls is necessary for the correct and secure operation of the key governance platform.
,,Supports (integral to) CA-7: Continuous Monitoring,The key governance platform permits continuous network monitoring to detect potential cybersecurity events by providing key variable information necessary to enable decrypting and forwarding re-encrypted traffic (by data center keys) to real time and post facto analysis platforms. 
,,Supports (integral to) SC-8: Transmission Confidentiality and Integrity,Keys are distributed within the data center in encrypted form only.
,,Supports (integral to) SC-12: Cryptographic Key Establishment and Management,"The key governance platform discovers, creates, renews, provisions, revokes, and destroys certificates and keys upon which transport layer security relies."
,,Supports (integral to) SC-28: Protection of Data-at-Rest,Keys are stored only in encrypted form.
TLS Server,"Counter party for encrypted traffic that generates session keys, negotiates encryption protocols, and connects to key management infrastructure.",Is supported by (precedes) AC-1: Access Control Policy and Procedures,The organization must establish monitoring and analysis roles that are authorized access to the server processes and information associated with inspection and analysis of TLS traffic in order to configure system access controls. The authorized roles must be consistent with internal information protection policies and agreements with external partners. 
,,Is supported by (integral to) AC-2: Account Management,"Authorization for access to (e.g., configuration of) TLS servers must require prior credentialling and authorization of appropriate staff."
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege.,The TLS server has access to all information being transferred under TLS. Only personnel having duties specifically authorizing access to the payloads may have access permission. Access to the TLS transactions and security processes by unauthorized individuals can result in serious harm to the organization.
,,Is supported by (integral to) AC-17: Remote Access,"The TLS server performs TLS cryptographic processes, including access to keys. It hosts the session key capture and registration agent. Privileged remote access to the server can result in unauthorized access to the keys and information protected under the keys."
,,Is supported by (integral to) PE-2: Physical Access Authorization,"TLS cryptographic processes, including access to keys. It hosts the session key capture and registration agent. Rationale for authorization should stress need-to-know. Physical access to the server can result in unauthorized access to the keys and information protected under the keys."
,,Is supported by (integral to) PE-3: Physical Access Control,"TLS cryptographic processes, including access to keys. It hosts the session key capture and registration agent. Control of physical access to the server is essential to avoiding unauthorized access to the keys and information protected under the keys."
,,Supports (integral to) SC-8: Transmission Confidentiality and Integrity,TLS server provides TLS 1.3 protection to data-in-transit outside the data center. TLS server also provides cryptographic protection to its connections within the data center. 
Key Management Agent,Provisions the TLS server with bounded lifetime DH keys under control of the key governance platform.,Is supported by (precedes) AC-1: Access Control Policy and Procedures,The key management agent has access to the session keys under which TLS transactions are protected. Organizational access control policies and procedures need to support limiting access to the key management agent to only those individuals who are authorized access to the keys and information protected under the keys.
,,Is supported by (integral to) AC-2: Account Management,The key management agent has access to the session keys under which TLS transactions are protected. Authorization for access to The key management agent must require prior credentialling and authorization of appropriate staff.
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege ,"The key management agent has access to the session keys under which TLS transactions are protected. Privileged remote access to the key management agent can result in unauthorized access to the keys and information protected under the keys. For this reason, access must be limited to those having specific duties requiring access to all transactions."
,,Is supported by (integral to) AC-17: Remote Access,The key management agent has access to the session keys under which TLS transactions are protected. Privileged remote access to the key management agent can result in unauthorized access to the keys and information protected under the keys.
,,Is supported by (integral to) PE-2: Physical Access Authorization,The key management agent has access to the session keys under which TLS transactions are protected. Authorization for physical access must be strictly limited and be informed by need-to-know. 
,,Is supported by (integral to) PE-3: Physical Access Control,The key management agent has access to the session keys under which TLS transactions are protected. Physical access to the key management agent by unauthorized individuals can result in unauthorized access to the keys and information protected under the keys.
,,Supports (integral to) CA-7: Continuous Monitoring,The key management agent permits continuous network monitoring to detect potential cybersecurity events by providing key variable information necessary to enable decrypting and forwarding re-encrypted traffic to real time and post facto analysis platforms.
,,Supports (integral to) SC-8: Transmission Confidentiality and Integrity,Keys are distributed by the key management agent within the data center in encrypted form only.
,,Supports (integral to) SC-12: Cryptographic Key Establishment and Management ,Keys are distributed by the key management agent within the data center.
,,Supports (integral to) SC-28: Protection of Information as Rest ,Keys are stored by the key management agent only in encrypted form.
,,Supports (integral to) SI-4: System Monitoring,The key management agent permits network monitoring to detect potential cybersecurity events through distribution of key variable information to decryption processes. 
Key Capture and Registration Agent,Captures the ephemeral session keys and registers the captured keys and flow identification data with the key governance platform.,Is supported by (precedes) AC-1: Access Control Policy and Procedures,The key capture and registration agent has access to the session keys under which TLS transactions are protected. Organizational access control policies and procedures need to support limiting access to the key capture and registration agent to only those individuals who are authorized access to the keys and information protected under the keys.
,,Is supported by (integral to) AC-2: Account Management,The key capture and registration agent has access to the session keys under which TLS transactions are protected. Authorization for access to The key capture and registration agent must require prior credentialling and authorization of appropriate staff.
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege,"The key capture and registration agent has access to the ephemeral session keys under which TLS transactions are protected. Privileged remote access to the key management agent can result in unauthorized access to the keys and information protected under the keys. For this reason, access must be limited to those having specific duties requiring access to all transactions."
,,Is supported by (integral to) AC-17: Remote Access,The key capture and registration agent has access to the ephemeral session keys under which TLS transactions are protected. Privileged remote access to the key management agent can result in unauthorized access to the keys and information protected under the keys.
,,Is supported by (integral to) PE-2: Physical Access Authorization,The key capture and registration agent has access to the ephemeral session keys under which TLS transactions are protected. Authorization for physical access to the key management agent must be limited to the set of individuals authorized access to the keys and information protected under the keys.
,,Is supported by (integral to) PE-3: Physical Access Control,The key capture and registration agent has access to the ephemeral session keys under which TLS transactions are protected. Physical access to the key management agent by unauthorized individuals can result in unauthorized access to the keys and information protected under the keys.
,,Supports (integral to) CA-7: Continuous Monitoring ,The key capture and registration agent permits continuous network monitoring to detect potential cybersecurity events by providing key variable information necessary to enable decrypting TLS 1.3-encrypted traffic and forwarding re-encrypted traffic to real time and post facto analysis platforms. 
,,Supports (integral to) SC-8: Transmission Confidentiality and Integrity,Keys are distributed by the key capture and registration agent within the data center in encrypted form only.
,,Supports (integral to) SC-12: Cryptographic Key Establishment and Management,Keys are distributed to the real-time decryption process and the key governance platform by the key capture and registration agent.
,,Supports (integral to) SC-28: Protection of Information at Rest.,Keys are stored by the key capture and registration agent only in encrypted form.
,,Supports (integral to) SI-4: System Monitoring,The key capture and registration agent permits network monitoring to detect potential cybersecurity events by providing key variable information necessary to enable decrypting and forwarding re-encrypted traffic to real time and post facto analysis platforms.
Key Source ,Stores enterprise private and secret keys.,Is supported by (integral to) AC-6: Least Privilege.,The key source has access to private keys. Unrestricted access to the key source can result in unauthorized access to the keys and information protected under the keys for the entire enterprise. 
,,Is supported by (integral to) AC-17: Remote Access,"The key source has access to private keys, usually for multiple systems. Privileged remote access to the key source can result in unauthorized access to the keys and information protected under the keys."
,,Is supported by (integral to) PE-2: Physical Access Authorization,The enterprise key source has access to private keys. Physical access to the key source must be authorized to only those trusted individuals exercising appropriate roles and possessing need-to-know. 
,,Is supported by (integral to) PE-3: Physical Access Control,The enterprise key source has access to private keys. Physical access to the enterprise key source must be controlled because unauthorized individuals can result in unauthorized access to the keys and information protected under the keys.
,,Supports (integral to) SC-8: Transmission Confidentiality and Integrity,Provides keying material for protection of data-in-transit. Only cryptographically protected private and symmetric keys are distributed by the key source.
,,Supports (integral to) SC-12: Cryptographic Key Establishment and Management,Provides and protects keying material for protection of data-in-transit within the data center.
,,Supports (integral to) SC-28: Protection of Information at Rest,Securely stores keying material for protection of TLS 1.3 traffic within the data center. Keys are physically protected and stored in the key source only in encrypted form. 
Enterprise PKI,Provides enterprise key certificates.,Is supported by (precedes) AC-1: Access Control Policy and Procedures,The enterprise PKI distributes the enterprise server certificates. Organizational access control policies and procedures need to support limiting access to the key capture and registration agent to only those individuals who are authorized access to the keys and information protected under the keys.
,,Is supported by (integral to) AC-2: Account Management,The enterprise PKI distributes the enterprise server certificates. Authorization for access to The key capture and registration agent must require prior credentialling and authorization of appropriate staff.
,,Is supported by (integral to) AC-4: Access Enforcement,Enforcement implements approved authorization policies for logical access to information and system resources in accordance with applicable access control policies.
,,Is supported by (integral to) AC-6: Least Privilege.,The enterprise PKI has access to private keys. Unrestricted access to the key management agent can result in unauthorized access to the keys and information protected under the keys for the entire enterprise � including other enterprises for which it provides PKI services.
,,Is supported by (integral to) AC-17: Remote Access,"The enterprise PKI has access to private keys, usually for multiple systems. Privileged remote access to the key management agent can result in unauthorized access to the keys and information protected under the keys."
,,Is supported by (integral to) PE-2: Physical Access Authorization,"The enterprise PKI has access to private keys, usually for multiple systems. Physical access to the enterprise PKI must be authorized to only those trusted individuals exercising appropriate roles and possessing need-to-know. "
,,Is supported by (integral to) PE-3: Physical Access Control,"The enterprise PKI has access to private keys, usually for multiple systems. Physical access to the enterprise PKI must be controlled because unauthorized individuals can result in unauthorized access to the keys and information protected under the keys."
,,Supports (integral to) SC-8: Transmission Confidentiality and Integrity,Provides keying material for protection of data-in-transit within the data center. Only cryptographically protected private and symmetric keys are distributed by the enterprise PKI.
,,Supports (integral to) SC-12: Cryptographic Key Establishment and Management,Provides keying material for protection of data-in-transit within the data center.
,,Supports (integral to) SC-28: Protection of Information at Rest,Provides keying material for protection of decrypted TLS 1.3 traffic sent to storage in post facto analytics platforms within the data center. Keys are stored in the enterprise PKI only in encrypted form. 
